title,url,summary
"District of Columbia Court of Appeals v. Feldman","https://en.wikipedia.org/?curid=1712885","No summary provided."
"Credit Suisse Securities (USA) LLC v. Billing","https://en.wikipedia.org/?curid=11851918","No summary provided."
"Flood v. Kuhn","https://en.wikipedia.org/?curid=15933949","No summary provided."
"Fashion Originators' Guild of America v. FTC","https://en.wikipedia.org/?curid=18385730","No summary provided."
"Chicago Board of Trade v. United States","https://en.wikipedia.org/?curid=19111301","No summary provided."
"FTC v. Sperry & Hutchinson Trading Stamp Co.","https://en.wikipedia.org/?curid=20401835","No summary provided."
"Duplex Printing Press Co. v. Deering","https://en.wikipedia.org/?curid=20516359","No summary provided."
"De Beers antitrust litigation","https://en.wikipedia.org/?curid=22802021","No summary provided."
"California Retail Liquor Dealers Ass'n v. Midcal Aluminum, Inc.","https://en.wikipedia.org/?curid=23317053","No summary provided."
"Continental Television, Inc. v. GTE Sylvania, Inc.","https://en.wikipedia.org/?curid=29609183","No summary provided."
"Copperweld Corp. v. Independence Tube Corp.","https://en.wikipedia.org/?curid=32382412","No summary provided."
"Eastman Kodak Co. v. Image Technical Services, Inc.","https://en.wikipedia.org/?curid=33570729","No summary provided."
"Comcast Corp. v. Behrend","https://en.wikipedia.org/?curid=38976199","No summary provided."
"Ethyl Gasoline Corp. v. United States","https://en.wikipedia.org/?curid=47817514","No summary provided."
"Dawson Chemical Co. v. Rohm & Haas Co.","https://en.wikipedia.org/?curid=49902388","No summary provided."
"Epic Games v. Apple","https://en.wikipedia.org/?curid=65073118","No summary provided."
"Epic Games v. Google","https://en.wikipedia.org/?curid=65073251","No summary provided."
"Dr. Miles Medical Co. v. John D. Park & Sons Co.","https://en.wikipedia.org/?curid=71347345","No summary provided."
"Burnett v. National Association of Realtors","https://en.wikipedia.org/?curid=78256754","No summary provided."
"Hartford Fire Insurance Co. v. California","https://en.wikipedia.org/?curid=1735073","Hartford Fire Insurance Co. v. California, 509 U.S. 764 (1993), was a controversial United States Supreme Court case which held that foreign companies acting in foreign countries could nevertheless be held liable for violations of the Sherman Antitrust Act if they conspired to restrain trade within the United States, and succeeded in doing so.   == Facts == Various reinsurance companies in the United Kingdom had conspired through Lloyd's of London to coerce U.S. insurers into abandoning certain policy practices that were beneficial to consumers, but costly to the reinsurers. When U.S. states (including the named plaintiff, California) filed a lawsuit alleging antitrust violations, the defendant companies raised a number of defenses, asserting that the United States lacked jurisdiction over their acts, that various statutes exempted them from liability, and that principles of comity dictated that they should not be brought before a U.S. court. The United States district court in which the case was brought accepted these arguments and dismissed the case. The Court of Appeals reversed the dismissal.   == Result == The Supreme Court, in an opinion by Justice Souter, stated that ""it is well..."
"International Salt Co. v. United States","https://en.wikipedia.org/?curid=3102296","No summary provided."
"Illinois Tool Works Inc. v. Independent Ink, Inc.","https://en.wikipedia.org/?curid=4545589","No summary provided."
"Haywood v. National Basketball Association","https://en.wikipedia.org/?curid=16977529","No summary provided."
"Hawaii v. Standard Oil Co. of California","https://en.wikipedia.org/?curid=19188385","No summary provided."
"United States v. Glaxo Group Ltd.","https://en.wikipedia.org/?curid=20316461","No summary provided."
"FTC v. Dean Foods Co.","https://en.wikipedia.org/?curid=20402646","No summary provided."
"Illinois Brick Co. v. Illinois","https://en.wikipedia.org/?curid=21198025","No summary provided."
"Goldfarb v. Virginia State Bar","https://en.wikipedia.org/?curid=22494995","No summary provided."
"Fraser v. Major League Soccer","https://en.wikipedia.org/?curid=35358938","No summary provided."
"FTC v. Actavis, Inc.","https://en.wikipedia.org/?curid=40914432","No summary provided."
"FTC v. Motion Picture Advertising Service Co.","https://en.wikipedia.org/?curid=47866157","No summary provided."
"Gamco, Inc. v. Providence Fruit & Produce Building, Inc.","https://en.wikipedia.org/?curid=50750922","No summary provided."
"Hartford-Empire Co. v. United States","https://en.wikipedia.org/?curid=52301150","No summary provided."
"FTC v. Qualcomm","https://en.wikipedia.org/?curid=65863328","No summary provided."
"FTC v. Meta","https://en.wikipedia.org/?curid=66075964","No summary provided."
"FTC v. Microsoft","https://en.wikipedia.org/?curid=74153409","No summary provided."
"FTC v. Amazon","https://en.wikipedia.org/?curid=74915665","No summary provided."
"FTC v. Consolidated Foods Corp.","https://en.wikipedia.org/?curid=78053583","No summary provided."
"FTC v. Phoebe Putney Health System, Inc.","https://en.wikipedia.org/?curid=81200957","No summary provided."
"Modification of Final Judgment","https://en.wikipedia.org/?curid=41377","In United States telecommunication law, the Modification of Final Judgment (MFJ) is the August 24, 1982 consent decree concerning the antitrust lawsuit of January 14, 1949, United States vs. Western Electric Company and American Telephone and Telegraph Company and its Final Judgment on January 24, 1956, the latter of which it vacated. The decree was made with Harold H. Greene as presiding judge in the United States District Court for the District of Columbia. The terms required the breakup of the Bell System and a reorganization of the American Telephone and Telegraph Company (AT&T), including removing local telephone service from AT&T control and placing business restrictions on the divested regional telephone companies in exchange for removing other longstanding restrictions on the types of business AT&T could enter. The MFJ also consolidated the case United States v. AT&T filed on November 20, 1974.   == References ==   This article incorporates public domain material from Federal Standard 1037C. General Services Administration. Archived from the original on January 22, 2022."
"National Broadcasting Co. v. United States","https://en.wikipedia.org/?curid=1639958","No summary provided."
"Mid-South Grizzlies v. National Football League","https://en.wikipedia.org/?curid=2873335","No summary provided."
"Northern Securities Co. v. United States","https://en.wikipedia.org/?curid=10126302","No summary provided."
"Leegin Creative Leather Products, Inc. v. PSKS, Inc.","https://en.wikipedia.org/?curid=12000111","No summary provided."
"Loewe v. Lawlor","https://en.wikipedia.org/?curid=16054347","No summary provided."
"Kiefer-Stewart Co. v. Seagram & Sons, Inc.","https://en.wikipedia.org/?curid=20207469","No summary provided."
"NCAA v. Board of Regents of the University of Oklahoma","https://en.wikipedia.org/?curid=28614772","No summary provided."
"Matsushita Electric Industrial Co. v. Zenith Radio Corp.","https://en.wikipedia.org/?curid=29609606","No summary provided."
"Jefferson Parish Hospital District No. 2 v. Hyde","https://en.wikipedia.org/?curid=29609637","No summary provided."
"United States v. Loew's Inc.","https://en.wikipedia.org/?curid=30774738","No summary provided."
"Mitsubishi Motors Corp. v. Soler Chrysler-Plymouth, Inc.","https://en.wikipedia.org/?curid=35334837","No summary provided."
"O'Bannon v. NCAA","https://en.wikipedia.org/?curid=40125359","No summary provided."
"North Carolina State Board of Dental Examiners v. FTC","https://en.wikipedia.org/?curid=48546534","No summary provided."
"Lorain Journal Co. v. United States","https://en.wikipedia.org/?curid=50430039","No summary provided."
"Interstate Circuit, Inc. v. United States","https://en.wikipedia.org/?curid=50802443","No summary provided."
"Klor's, Inc. v. Broadway-Hale Stores, Inc.","https://en.wikipedia.org/?curid=50813137","No summary provided."
"LePage's, Inc. v. 3M","https://en.wikipedia.org/?curid=50894778","No summary provided."
"New York v. Deutsche Telekom","https://en.wikipedia.org/?curid=63085359","No summary provided."
"National Collegiate Athletic Association v. Alston","https://en.wikipedia.org/?curid=66121830","No summary provided."
"Standard Oil Co. of New Jersey v. United States","https://en.wikipedia.org/?curid=1854179","Standard Oil Co. of New Jersey v. United States, 221 U.S. 1 (1911), was a landmark U.S. Supreme Court decision that ruled that John D. Rockefeller's petroleum conglomerate Standard Oil had illegally monopolized the American petroleum industry and ordered the company to break itself up. The decision also held, however, that U.S. antitrust law bans only ""unreasonable"" restraints on trade, an interpretation that came to be known as the ""rule of reason"".   == History == Over the course of the 1870s, the Standard Oil Company of Ohio acquired a monopoly on oil refining in the United States. The Cleveland-based company was already among the largest refiners in the United States at the start of the decade, but it controlled only about four percent of the market. Under the leadership of founder John D. Rockefeller, Standard Oil began acquiring other refineries in Cleveland, which was a center of the U.S. refining industry. By early 1872, it owned nearly every refinery in the city and controlled roughly 25 percent of the American oil refining market. Under Rockefeller's direction, Standard Oil then began acquiring refining companies in other cities, and by 1879 it controlled more than 90 percent..."
"Osteopathic Physicians & Surgeons v. California Medical Ass'n","https://en.wikipedia.org/?curid=12254428","No summary provided."
"Plan B free agency","https://en.wikipedia.org/?curid=14502788","No summary provided."
"Radovich v. National Football League","https://en.wikipedia.org/?curid=16159571","No summary provided."
"Robertson v. National Basketball Ass'n","https://en.wikipedia.org/?curid=17473693","No summary provided."
"Silver v. New York Stock Exchange","https://en.wikipedia.org/?curid=17881736","No summary provided."
"Spectrum Sports, Inc. v. McQuillan","https://en.wikipedia.org/?curid=18473779","No summary provided."
"Pacific Bell Telephone Co. v. linkLine Communications, Inc.","https://en.wikipedia.org/?curid=21844292","No summary provided."
"Parker v. Brown","https://en.wikipedia.org/?curid=23317180","No summary provided."
"Rice v. Norman Williams Co.","https://en.wikipedia.org/?curid=23357679","No summary provided."
"Pfizer Inc. v. Government of India","https://en.wikipedia.org/?curid=35297263","No summary provided."
"Redbox Automated Retail LLC v. Universal City Studios LLLP","https://en.wikipedia.org/?curid=37285800","No summary provided."
"Payment card interchange fee and merchant discount antitrust litigation","https://en.wikipedia.org/?curid=38795404","No summary provided."
"Standard Oil Co. v. United States (Standard Stations)","https://en.wikipedia.org/?curid=47321435","No summary provided."
"Princo Corp. v. ITC","https://en.wikipedia.org/?curid=47987592","No summary provided."
"Otter Tail Power Co. v. United States","https://en.wikipedia.org/?curid=50228518","No summary provided."
"SmithKline Corp. v. Eli Lilly & Co.","https://en.wikipedia.org/?curid=50892105","No summary provided."
"Raising rivals' costs","https://en.wikipedia.org/?curid=50940531","No summary provided."
"Ohio v. American Express Co.","https://en.wikipedia.org/?curid=56731463","No summary provided."
"Oneok, Inc. v. Learjet, Inc.","https://en.wikipedia.org/?curid=80705418","No summary provided."
"Microsoft Corp. v European Commission","https://en.wikipedia.org/?curid=5805422","Microsoft Corp. v Commission of the European Communities (2007; T-201/04) is a case brought by the European Commission of the European Union (EU) against Microsoft for abuse of its dominant position in the market (according to competition law). It started as a complaint from Sun Microsystems over Microsoft's licensing practices in 1993, and eventually resulted in the EU ordering Microsoft to divulge certain information about its server products and release a version of Microsoft Windows without Windows Media Player. The European Commission especially focused on the interoperability issue.   == Facts == In 1993, the American software company Novell claimed that Microsoft was blocking its competitors out of the market through anti-competitive practices. The complaint centered on the license practices at the time which required royalties from each computer sold by a supplier of Microsoft's operating system, whether or not the unit actually contained the Windows operating system. Microsoft reached a settlement in 1994, ending some of its license practices, specifically ""charging royalties on a 'per processor' basis"", which allowed Microsoft to be paid without providing a product and caused..."
"Rewe-Zentral AG v Bundesmonopolverwaltung für Branntwein","https://en.wikipedia.org/?curid=22650998","No summary provided."
"Höfner and Elser v Macrotron GmbH","https://en.wikipedia.org/?curid=25614903","No summary provided."
"European Union IBM competition cases","https://en.wikipedia.org/?curid=28181465","No summary provided."
"Wouters v Algemene Raad van de Nederlandse Orde van Advocaten","https://en.wikipedia.org/?curid=39750971","No summary provided."
"Courage Ltd v Crehan","https://en.wikipedia.org/?curid=44858065","No summary provided."
"Commission v Anic Partecipazioni SpA","https://en.wikipedia.org/?curid=44960955","No summary provided."
"Consten SaRL and Grundig GmbH v Commission","https://en.wikipedia.org/?curid=44961626","No summary provided."
"Bundesverband der Arzneimittel-Importeure eV and Commission v Bayer","https://en.wikipedia.org/?curid=44961853","No summary provided."
"T-Mobile Netherlands BV v Raad van bestuur van de Nederlandse Mededingingsautoriteit","https://en.wikipedia.org/?curid=44962535","No summary provided."
"GlaxoSmithKline Services Unlimited v Commission","https://en.wikipedia.org/?curid=44962618","No summary provided."
"O2 (Germany) GmbH & Co OHG v Commission","https://en.wikipedia.org/?curid=44963096","No summary provided."
"Albany International BV v Stichting Bedrijfspensioenfonds Textielindustrie","https://en.wikipedia.org/?curid=48855268","No summary provided."
"Antitrust cases against Google by the European Union","https://en.wikipedia.org/?curid=51664929","No summary provided."
"United Brands Company v Commission of the European Communities","https://en.wikipedia.org/?curid=59223091","No summary provided."
"French Endives","https://en.wikipedia.org/?curid=75053832","No summary provided."
"AKZO Chemie BV v Commission","https://en.wikipedia.org/?curid=75350465","No summary provided."
"AstraZeneca plc v Commission","https://en.wikipedia.org/?curid=75350516","No summary provided."
"Google LLC v Commission","https://en.wikipedia.org/?curid=75350546","No summary provided."
"Commercial Solvents Corporation v Commission","https://en.wikipedia.org/?curid=75350557","No summary provided."
